readid|title|author|published|format|keywords|read
aa115|A Universe from Nothing: Why There is Something from Nothing|Lawrence M. Krauss|2012|Libby|astrophysics cosmology theoretical physics|2024-05-29
aa116|Invisible Women: Data Bias in a World Designed for Men|Caroline Criado-Perez|2019|Libby|data bias women feminism|2024-06-03
aa117|Elizabeth Finch|Julian Barnes|2022|Libby|fiction christianity apostacy roman|2024-06-05
aa119|Illiberal America: A History|Steven Hahn|2024|Libby|illiberalism democracy american history|2024-06-19
aa118|Nothing to Be Frightened Of|Julian Barnes|2008|Libby|memoir autobiography faith atheism death|2024-06-25
aa121|The Disordered Mind|Eric R. Kandel|2018|Libby|neuroscience mind disorders|2024-06-30
aa122|Human Compatible: Artificial Intelligence and the Problem of Control|Stuart Russell|2019|hardcover|artificial intelligence control problem alignment|2024-07-08
aa123|Dark and Magical Places: The Neuroscience of Navigation|Christopher Kemp|2022|Libby|neuroscience navigation hippocampus place cells grid cells|2024-07-14
aa124|The Extended Mind|Annie M. Paul|2021|Libby|neuroscience extended mind|2024-07-19
aa125|Schoenberg|Harvey Sachs|2023|Libby|music biography schoenberg serialism|2024-07-27
aa126|The Myth of Artificial Intelligence|Erik J. Larson|2021|Libby|artificial intelligence|2024-08-02
aa128|Frankenstein; or, The Modern Prometheus|Mary Shelley|1818|paperback|horror science fiction scifi|2024-08-19
aa130|Knife|Salman Rushdie|2024|Libby|memoir|2024-09-10
aa127|The Genome Defense|Jorge L. Contreras|2021|Libby|genomics genetics law|2024-09-24
aa131|Genome|Matt Ridley|2011|Libby|genomics genetics|2024-10-16
aa132|Reductionism in Art and Brain Science|Eric R. Kandel|2016|Libby|art modernism abstract expressionism neuroscience brain perception|2024-10-18
aa133|The End of Race Politics|Coleman Hughes|2024|Libby|race racism|2024-10-22
aa135|The Age of Insight: The Quest to Understand the Unconscious in Art, Mind, and Brain, from Vienna 1900 to the Present|Eric R. Kandel|2012|Libby|art modernism expressionism schiele kokoschka klimt symbolism neuroscience brain unconscious|2024-12-03
aa134|In Search of Memory|Eric R. Kandel|2007|paperback|neuroscience autobiography wwii|2024-12-05
aa136|A Brief History of Everyone Who Ever Lived: The Human Story Retold Through Our Genes|Adam Rutherford|2017|Libby|genetics genomics evolutionary biology|2024-12-18
aa138|The Runaway Species|Anthony Brandt; David Eagleman|2017|Libby|neuroscience anthropology art creativity|2024-12-22
aa141|Our Mathematical Universe|Max Tegmark|2014|Libby|cosmology physics quantum physics mathematics science|2025-01-16
aa140|Pale Fire|Vladimir Nabokov|1962|paperback|fiction|2025-01-17
aa142|Time Travel: A History|James Gleick|2016|Libby|time|2025-01-24
aa145|What an Owl Knows|Jennifer Ackerman|2023|Libby|zoology ecology owls|2025-01-28
aa147|Journey to the Edge of Reason: The Life of Kurt Gödel|Stephen Budiansky|2021|Libby|godel history mathematics|2025-02-03
aa148|The Hidden Lives of Owls|Leigh Calvez|2017|Libby|zoology ecology owls|2025-02-04
aa149|When Einstein Walked with Gödel|Jim Holt|2018|Libby|mathematics logic physics philosophy|2025-02-09

aa139|The Genetic Book of the Dead: A Darwinian Reverie|Richard Dawkins|2024|hardcover|genetics evolutionary biology science|2025-99-99
aa146|The Tragedy of Liberation: A History of the Chinese Revolution 1945-1957|Frank Dikötter|2013|Libby|cultural revolution china mao communism|2025-99-99
aa143|The Iliad|Homer, tr. Emily Wilson|2023|paperback|fiction greek mythology|2025-99-99
aa144|Orbital|Samantha Harvey|2024|paperback|space fiction sci-fi science fiction|2099-99-99
aa100|The Alignment Problem|Brian Christian|2020|paperback|artificial intelligence control problem alignment|2025-99-99
aa107|A History of Christianity: The First Three Thousand Years|Diarmaid MacCulloch|2009|paperback|christianity religion history catholicism judaism islam|2025-99-99
aa137|The Mind Doesn't Work That Way: The Scope and Limits of Computational Psychology|Jerry A. Fodor|2001|hardcover|philosophy mind computational neuroscience psychology|2099-99-99
aa129|The Science of Can and Can't: A Physicist's Journey through the Land of Counterfactuals|Chiara Marletto|2021|paperback|physics counterfactuals science|2025-99-99

aa120|Being You: A New Science of Consciousness|Anil Seth|2021|Libby|consciousness neuroscience|2099-99-99
aa097|The Conscious Mind|David J. Chalmers|1997|paperback|consciousness philosophy|2099-99-99
aa105|Lessons|Ian McEwan|2022|hardcover|fiction|2099-99-99
aa099|Intuition Pumps and Other Tools for Thinking|Daniel C. Dennett|2014|paperback|philosophy|2099-99-99
aa101|God: The Most Unpleasant Character in All Fiction|Dan Barker|2016|Libby|christianity religion bible|2099-99-99
aa108|Determined|Robert M. Sapolsky|2023|hardback|determinism neuroscience free will philosophy biology|2099-99-99
